代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002583"	海能达	-1.27	29.50	-0.38	29.50	29.55	15271	238	          0.06	          1.52	29.98	30.29	29.35	29.88	   322.88	45260472	  0.51	通信设备	深圳	 3.15	
="002457"	青龙管业	-1.30	9.13	-0.12	9.13	9.14	92059	999	          0.10	          4.86	9.24	9.25	9.01	9.25	    29.73	83734440	  0.74	塑料	宁夏	 2.59	
="000546"	光华控股	-1.39	6.40	-0.09	6.40	6.41	38787	392	          0.00	          2.65	6.50	6.50	6.30	6.49	    52.63	24723904	  0.84	区域地产	吉林	 3.08	
="600727"	鲁北化工	-1.47	4.69	-0.07	4.68	4.69	46158	11	          0.00	          1.32	4.75	4.76	4.65	4.76	   116.17	21744522	  0.65	农药化肥	山东	 2.31	
="002130"	沃尔核材	-1.59	8.66	-0.14	8.66	8.67	219214	2708	          0.00	          6.33	8.69	8.79	8.51	8.80	    59.48	188776592	  0.59	电气设备	深圳	 3.18	
="002343"	禾欣股份	-1.63	9.07	-0.15	9.07	9.08	27257	595	         -0.32	          2.21	9.50	9.50	9.05	9.22	    29.78	25038422	  1.06	塑料	浙江	 4.88	
="002552"	宝鼎重工	-1.74	12.97	-0.23	12.95	12.97	28077	263	          0.54	          3.34	13.20	13.40	12.80	13.20	   157.30	36706992	  0.79	机械基件	浙江	 4.55	
="600688"	上海石化	-1.84	3.74	-0.07	3.73	3.74	569920	5	         -0.26	          3.52	3.80	3.86	3.73	3.81	    30.17	214998944	  0.57	石油加工	上海	 3.41	
="000887"	中鼎股份	-1.98	8.43	-0.17	8.43	8.46	123613	2516	         -0.47	          1.15	8.59	8.64	8.39	8.60	    19.26	104706736	  0.85	橡胶	安徽	 2.91	
="002243"	通产丽星	-2.16	7.70	-0.17	7.69	7.70	165420	2432	          0.26	          6.58	7.80	7.96	7.66	7.87	    46.01	128789168	  1.53	塑料	深圳	 3.81	
="002512"	达华智能	-2.20	15.53	-0.35	15.53	15.54	47492	788	          0.00	          2.91	15.98	16.02	15.50	15.88	   111.41	74840472	  1.01	元器件	广东	 3.27	
="002347"	泰尔重工	-2.21	8.83	-0.20	8.83	8.84	42850	999	         -0.45	          4.56	8.98	9.02	8.80	9.03	    59.81	38043628	  0.48	机械基件	安徽	 2.44	
="601798"	蓝科高新	-2.29	11.95	-0.28	11.95	11.96	26212	108	         -0.16	          2.05	12.26	12.28	11.85	12.23	    49.64	31529700	  0.80	化工机械	甘肃	 3.52	
="600346"	大橡塑	-2.38	8.60	-0.21	8.60	8.61	67264	15	          0.11	          3.20	8.72	9.00	8.57	8.81	   268.90	58968680	  0.99	化工机械	辽宁	 4.88	
="000809"	铁岭新城	-2.44	11.60	-0.29	11.60	11.62	25422	573	         -0.34	          0.70	11.89	12.25	11.50	11.89	    57.57	30168688	  0.88	区域地产	辽宁	 6.31	
="600517"	置信电气	-2.45	19.08	-0.48	19.08	19.10	44982	4	          0.47	          0.73	19.70	19.92	18.93	19.56	   114.11	87052800	  1.15	电气设备	上海	 5.06	
="600742"	一汽富维	-2.47	18.54	-0.47	18.53	18.54	46741	13	          0.05	          2.21	18.92	19.08	18.20	19.01	    10.28	87036080	  1.53	汽车配件	吉林	 4.63	
="002387"	黑牛食品	-2.56	9.51	-0.25	9.51	9.53	41638	958	         -0.20	          2.17	9.76	9.85	9.45	9.76	   997.89	39891740	  1.30	软饮料	广东	 4.10	
="600879"	航天电子	-2.94	10.57	-0.32	10.57	10.59	259464	5	          0.37	          2.50	10.93	10.93	10.40	10.89	    47.71	274329760	  0.66	航空航天	湖北	 4.87	
="002286"	保龄宝	-3.27	18.05	-0.61	18.01	18.05	21834	510	          0.27	          3.04	18.84	18.85	17.81	18.66	    64.71	39795732	  1.49	食品	山东	 5.57	
="002550"	千红制药	-3.35	37.49	-1.30	37.49	37.50	34562	349	         -0.29	          3.37	38.83	39.55	37.47	38.79	    32.07	132362968	  2.18	生物制药	江苏	 5.36	
="002659"	中泰桥梁	-4.35	5.72	-0.26	5.72	5.73	98789	1919	          0.52	          6.79	5.94	5.97	5.69	5.98	   323.97	57062772	  0.58	建筑施工	江苏	 4.68	
="000705"	浙江震元	-5.99	17.10	-1.09	17.10	17.11	93917	481	         -0.05	          6.89	17.55	17.73	16.96	18.19	    43.04	161790192	  1.97	医药连锁	浙江	 4.23	
数据来源:通达信
